Name,Birthplace,Death Place,Birth Year,Death Year,B_Lat,B_Lon,B_State,D_Lat,D_Lon,D_State
Akhlaq Mohammed Khan,"Aonla, Uttar Pradesh",Aligarh,1936,2012,28.2699017,79.1604971,Uttar Pradesh,27.8973944,78.0880129,Uttar Pradesh
Unwan Chishti,Manglaur,Delhi,1937,2004,29.7885484,77.87971379999999,Uttarakhand,28.7040592,77.10249019999999,Delhi
Baramulla,"Baramulla, Jammu and Kashmir",,1937,2020,34.1990498,74.3499496,,,,
Nida Fazli,Delhi,Mumbai,1938,2016,28.7040592,77.10249019999999,Delhi,19.0759837,72.8776559,Maharashtra
Makhmoor Saeedi,"Tonk, India",Jaipur,1938,2010,26.1659063,75.7962852,Rajasthan,26.9124336,75.7872709,Rajasthan
Syed Mahmood Khundmiri,"Bidar, Karnataka","Lonavla, Maharashtra",1938,2011,17.9103939,77.51990789999999,Karnataka,18.7557237,73.4090757,Maharashtra
Obaidullah Aleem,Bhopal,Karachi,1939,2003,23.2599333,77.412615,Madhya Pradesh,24.8607343,67.0011364,Sindh
Mahmood Shaam,Jhang,-,1940,-,31.27806829999999,72.3316761,Punjab,,,
Kishwar Naheed,Bulandshahr,-,1940,-,28.406963,77.8498292,Uttar Pradesh,,,
Jazib Qureshi,Lucknow,-,1940,-,26.8466937,80.94616599999999,Uttar Pradesh,,,
Zameer Akhtar Naqvi,Lucknow,Karachi,1940,2020,26.8466937,80.94616599999999,Uttar Pradesh,24.8607343,67.0011364,Sindh
Riaz Ahmed Gohar Shahi,Dhok Gohar Shah,-,1941,-,,,,,,
Ahfaz ur Rahman,Jabalpur,Karachi,1942,2020,23.1685786,79.9338798,Madhya Pradesh,24.8607343,67.0011364,Sindh
Shamim Farooqui,Gaya,Patna,1943,2014,24.7913957,85.0002336,Bihar,25.5940947,85.1375645,Bihar
Iftikhar Arif,Lucknow,-,1944,-,26.8466937,80.94616599999999,Uttar Pradesh,,,
Amjad Islam Amjad,Lahore,Lahore,1944,2023,31.5203696,74.35874729999999,Punjab,31.5203696,74.35874729999999,Punjab
Ghulam Muhammad Qasir,"Paharpur, NWFP",Peshawar,1944,1999,32.1039651,70.9754842,Khyber Pakhtunkhwa,34.0151366,71.5249154,Khyber Pakhtunkhwa
Javed Akhtar,Gwalior,-,1945,-,26.2124007,78.1772053,Madhya Pradesh,,,
Anwer Zahidi,Multan,-,1946,-,30.157458,71.5249154,Punjab,,,
Afzal Ahmed Syed,Ghazipur,Karachi,1946,-,25.5877901,83.5783078,Uttar Pradesh,24.8607343,67.0011364,Sindh
Fehmida Riaz,Meerut,Lahore,1946,2018,28.9844618,77.7064137,Uttar Pradesh,31.5203696,74.35874729999999,Punjab
Shamim Hashimi,Sasaram,-,1947,-,24.9538803,84.01428659999999,Bihar,,,
Saleem Kausar,Panipat,-,1947,-,29.3909464,76.9635023,Haryana,,,
Mohsin Naqvi,Dera Ghazi Khan,Lahore,1947,1996,30.0489423,70.645473,Punjab,31.5203696,74.35874729999999,Punjab
Syed Ali Akhtar Rizvi,"Gopalpur, Siwan","Gopalpur, Siwan",1948,2002,26.1314441,84.3587167,Bihar,26.1314441,84.3587167,Bihar
Muhammad Izhar ul Haq,Attock,-,1948,-,33.7659684,72.3608754,Punjab,,,
Pir Naseer-uddin-Naseer,Golra Sharif,Golra Sharif,1949,2009,33.6939092,72.97705909999999,Islamabad Capital Territory,33.6939092,72.97705909999999,Islamabad Capital Territory
Rahat Indori,Indore,Indore,1950,2020,22.7195687,75.8577258,Madhya Pradesh,22.7195687,75.8577258,Madhya Pradesh
Zahid Abrol,"Una, Himachal",-,1950,-,31.4684649,76.2708152,Himachal Pradesh,,,
Jamal Ehsani,Sargodha,Karachi,1951,1998,32.0739787,72.6860696,Punjab,24.8607343,67.0011364,Sindh
Ashfaq Hussain,Karachi,-,1951,-,24.8607343,67.0011364,Sindh,,,
Munawwar Rana,Raebareli,-,1952,-,26.2144806,81.25281389999999,Uttar Pradesh,,,
Parveen Shakir,Karachi,Islamabad,1952,1994,24.8607343,67.0011364,Sindh,33.6844202,73.04788479999999,Islamabad Capital Territory
Haider Qureshi,Rabwah,-,1953,-,31.7583761,72.9165266,Punjab,,,
Sara Shagufta,Gujranwala,Drigh Colony,1954,1984,32.1876919,74.1944529,Punjab,24.8835781,67.1500871,Sindh
Salma Shaheen,"Baghdada, Mardan, Khyber Pakhtunkhwa",-,1954,-,34.2098676,72.03348319999999,Khyber Pakhtunkhwa,,,
Jayant Parmer,Ahmedabad,-,1954,-,23.022505,72.5713621,Gujarat,,,
Kazim Jarwali,Jarwal,-,1955,-,27.1634436,81.53907280000001,Uttar Pradesh,,,
Sibt-e-Jaafar Zaidi,Karachi,Liaquatabad,1957,2013,24.8607343,67.0011364,Sindh,24.9046605,67.0472374,Sindh
Noon Meem Danish,Karachi,-,1958,-,24.8607343,67.0011364,Sindh,,,
Fareed Parbati,Srinagar,Srinagar,1961,2011,34.0836708,74.7972825,,34.0836708,74.7972825,
Samina Raja,Bahawalpur,Islamabad,1961,2012,29.35435,71.69106599999999,Punjab,33.6844202,73.04788479999999,Islamabad Capital Territory
Anjum Rehbar,Guna district,-,1962,-,24.6455069,77.2864879,Madhya Pradesh,,,
Zahida Hina,Sasaram,-,1962,-,24.9538803,84.01428659999999,Bihar,,,
Raees Warsi,Karachi,-,1963,-,24.8607343,67.0011364,Sindh,,,
Zulfiqar Naqvi,Mendhar Tehsil,-,1965,-,,,,,,
Harris Khalique,Karachi,-,1966,-,24.8607343,67.0011364,Sindh,,,
Idris Azad,Khushab,,1969,-,32.2955365,72.3488721,Punjab,,,
Riaz Tasneem,"Swatu, Charsadda","Karachi, Sindh",1969,2017,34.16818140000001,71.7503855,Khyber Pakhtunkhwa,24.8607343,67.0011364,Sindh
Irshad Kamil,Malerkotla,-,1971,-,30.5245806,75.8783443,Punjab,,,
Akhtar Raza Saleemi,"Kekot, Haripur",-,1974,-,33.9946466,72.9106202,Khyber Pakhtunkhwa,,,
Ali Akbar Natiq,Okara,-,1974,-,30.8138017,73.45337789999999,Punjab,,,
Irfan Nasirabadi,"Nasirabad, Uttar Pradesh",-,1975,-,26.2103577,81.521241,Uttar Pradesh,,,
Sarim Momin,Mumbai,-,1978,-,19.0759837,72.8776559,Maharashtra,,,
Fuzail Ahmad Nasiri,Darbhanga,-,1978,-,26.1542045,85.8918454,Bihar,,,
